"the class was too fast and skipped important topics",0
"i loved how clear the teacher explained each concept",1
"assignments were confusing and instructions were unclear",0
"the course materials were well organized and easy to follow",1
"feedback took too long and arrived after the deadline",0
"examples were practical and helped me understand better",1
"lectures were boring and felt repetitive",0
"discussion sessions were engaging and interactive",1
"grading felt unfair and criteria were not transparent",0
"rubrics were detailed and grading was consistent",1
"the pace was perfect and not overwhelming",1
"the pace was too slow for me",0
"slides were cluttered and hard to read",0
"slides were clean and very readable",1
"the lab support was excellent and timely",1
"i struggled to get help during labs",0
"teacher encouraged questions and participation",1
"teacher rarely answered questions in detail",0
"group work was well coordinated",1
"group work lacked coordination and clarity",0
"quizzes matched the lectures well",1
"quizzes did not reflect what was taught",0
"recorded lectures were very helpful",1
"no recordings were available when i missed class",0
"the examples connected theory to real life",1
"too much theory and not enough examples",0
"i appreciated the frequent formative feedback",1
"there was almost no feedback throughout the term",0
"office hours were accessible and useful",1
"office hours were hard to attend and rarely helpful",0
"the learning platform was easy to navigate",1
"the platform kept crashing during submissions",0
"instructions for projects were crystal clear",1
"project requirements kept changing without notice",0
"the teacher was supportive and respectful",1
"some comments felt dismissive and unhelpful",0
"tutorials clarified difficult topics",1
"tutorials were rushed and superficial",0
"practice questions were abundant and relevant",1
"not enough practice questions to prepare",0
